"REGION","ZONA","NIS","PROVINCIA","PARTIDO","LOCALIDAD","CALLE","NUMERO","CPA_CALLE","CATEGORIA","DENOMINACION","TITULAR","CPA_SUCURSAL","DIVISION","CENTRO_DE_COSTO","CENTRO_DE_BENEFICIO","PUNTO_VENTA","TELEFONOS","HORARIOS" 
"CENTRO","ZONA 7","A0020","SALTA","GENERAL JOSE DE SAN MARTIN","GENERAL ENRIQUE MOSCONI","AV 20 DE FEBRERO","0","A4562ADA","SUCURSAL","GRAL E.  MOSCONI","ALVARADO, NORBERTO ANTONIO","A4562ZAA","P132","71017132","9171723132","MANUAL 0726","(03873) 481698","LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.00" 
"CENTRO","ZONA 7","A0021","SALTA","GENERAL GUEMES","GENERAL GUEMES","DR DOMINGO CABRED","201","A4430AME","SUCURSAL","GENERAL GUEMES","LOPEZ, MARCELO FRANCISCO","A4430ZAA","P131","71017131","9171722131","MANUAL 0727","(0387) 4911030","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0023","SALTA","ORAN","HIPOLITO YRIGOYEN","GRAL MARTIN M GUEMES","0","A4532ANA","AGENCIA","HIPOLITO YRIGOYEN","TOLEDO,ANGEL ALBERTO","A4532ZAB","P141","71017141","9171726141","MANUAL 0818","(03878) 491504","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A0024","SALTA","ANTA","JOAQUIN V GONZALEZ","GRAL M BELGRANO","315","A4448AHG","SUCURSAL","JOAQUIN  V GONZALEZ","YAÑEZ PABLO ESTEBAN","A4448ZAA","P151","71017151","9171729151","MANUAL 0728","(03877) 42-4104","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0025","SALTA","METAN","METAN","CAP JOSE I SIERRA","358","A4440EPH","SUCURSAL","METAN","VANUCCI JORGE HORACIO","A4440ZAA","P161","71017161","9171750161","MANUAL 0729","(03876) 420459","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0026","SALTA","ORAN","PICHANAL","AV SARMIENTO","625","A4534BKG","AGENCIA","PICHANAL","LOPEZ,JAVIER EDUARDO","A4534ZAA","P171","71017171","9171740171","MANUAL 0730","(03878) 493024","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0027","SALTA","GENERAL JOSE DE SAN MARTIN","SALVADOR MAZZA","AV SAN MARTIN","100","A4568AEN","SUCURSAL","POCITOS","SARZUR, JULIAN VICTOR","A4568ZAA","P172","71017172","9171741172","MANUAL 0731","(03873) 471045","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0028","SALTA","RIVADAVIA","RIVADAVIA","JUAN D PERON","100","A4535AJB","AGENCIA","RIVADAVIA","DIAZ, NESTOR SELSO","A4535ZAA","P181","71017181","9171747181","MANUAL 0732","(0387) 567-1643/509-0777","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A0029","SALTA","ROSARIO DE LA FRONTERA","ROSARIO DE LA FRONTERA","PROVINCIA DE SALTA","296","A4190CGF","SUCURSAL","ROSARIO DE LA FRONTERA","Iramain,Marcos Alberto","A4190ZAA","P183","71017183","9171745183","MANUAL 0733","(03876) 481090","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0030","SALTA","ROSARIO DE LERMA","ROSARIO DE LERMA","CARLOS PELLEGRINI","201","A4405AZE","SUCURSAL","ROSARIO DE  LERMA","ZERPA RUBEN EDUARDO","A4405ZAA","P182","71017182","9171746182","MANUAL 0734","(0387) 4931012","LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 19.00" 
"CENTRO","ZONA 7","A0031","SALTA","LOS ANDES","SAN ANTONIO DE LOS COBRES","AV GRAL M BELGRANO","20","A4411AHN","AGENCIA","SAN A . DE LOS COBRES","MAMANI ANGEL","A4411ZAA","P191","71017191","9171748191","MANUAL 0735","(0387) 4909031 FAX: 490-9031","LUN A VIE 08.00 A 13.00 / VIERNES 08.00 A 14.00 / LUN A JUEV 17.00 A 18.00" 
"CENTRO","ZONA 7","A0032","SALTA","SAN CARLOS","SAN CARLOS","GRAL MARTIN M GUEMES","1","A4428AIA","AGENCIA","SAN CARLOS","GONZA CARLOS","A4428ZAA","P192","71017192","9171749192","MANUAL 0736","(03868) 49-5071","MAR Y JUE 09.00 A 13.00" 
"CENTRO","ZONA 7","A0033","SALTA","ORAN","SAN RAMON DE LA NUEVA ORAN","AV VICENTE LOPEZ Y PLANES","402","A4530DKR","SUCURSAL","SAN RAMON DE LA NUEVA ORAN","LAMAS DANTE ISIDRO","A4530ZAC","P193","71017193","9171751193","AUTO/AUTO 2540 - MANUAL/AUTO 0737","(03878) 421013/422930","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 7","A0035","SALTA","MOLINOS","SECLANTAS","GDOR ABRAHAM CORNEJO","150","A4419AAD","AGENCIA","SECLANTAS","NO OPERATIVA","A4419ZAA","P194","71017194","9171754194","MANUAL 0738","(03868) 498025","LUNES 08.00 A 13.00 / JUEVES 08.00 A 13.00" 
"CENTRO","ZONA 7","A0036","SALTA","LA CANDELARIA","EL TALA","PTE H YRIGOYEN","153","A4126AIC","AGENCIA","TALA","MONTOYA, JULIO ARGENTINO","A4126ZAA","P201","71017201","9171719201","MANUAL 0739","(03876) 49-2302","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A0037","SALTA","GENERAL JOSE DE SAN MARTIN","TARTAGAL","GRAL MARTIN M GUEMES","501","A4560BFK","SUCURSAL","TARTAGAL","GABRIELA ANDREA PEREYRA","A4560ZAA","P202","71017202","9171755202","AUTO/AUTO 2567 - MANUAL/AUTO 0740","(03873) 421643/421630","LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00" 
"CENTRO","ZONA 8","A0045","SALTA","IRUYA","IRUYA","GRAL SAN MARTIN","0","A4633AKA","AGENCIA","IRUYA","HERBE EFRAIN ARRAYA","A4633ZAA","O151","71010151","9171727151","MANUAL 0684","(03887) 482001","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A1056","SALTA","CAPITAL","LA UNION","CALLE EN LOCALIDAD DE MENOS DE","","A4401XAF","ESTAFETA","LA UNION","TORRES NIDIA","A4535ZAB","P193","71017193","9171751193","MANUAL 0757","(03878) 496054","LUN A VIE 07.00 A 13.00" 
"CENTRO","ZONA 7","A1058","SALTA","ROSARIO DE LERMA","LAS CAPILLAS","PARAJE","","A4409XAF","ESTAFETA","LAS CAPILLAS","GUANUCO DIONISIO ELADIA","A4409ZAA","P182","71017182","9171746182","MANUAL 0758","NO POSEE","LUN A VIE 07.00 A 13.00" 
"CENTRO","ZONA 7","A1138","SALTA","CAPITAL","SALTA","GRAL J J DE URQUIZA","998","A4402AYT","AGENCIA","SALTA  2","AGUIRRE OSCAR ALFREDO","A4402ZAA","P101","71017101","9171747101","MANUAL 0817","(0387) 4315084","LUN A VIE 08.00 A 16.00" 
"CENTRO","ZONA 7","A1168","SALTA","LA POMA","LA POMA","AV GRAL SAN MARTIN","117","A4416AJB","AGENCIA","LA POMA","ROBUSTIANO CASIMIRO","A4416ZAA","P107","71017107","9171733107","MANUAL 0755","NO POSEE","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A1199","SALTA","RIVADAVIA","SANTA VICTORIA ESTE","AVENIDA SALTA S/N","","A4561XAM","AGENCIA","SANTA VICTORIA ESTE","FARFAN CORTEZ SERGIO MARTIN","A4561ZAA","P195","71017195","9171752195","MANUAL 0767","(03873) 49-0159","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A1208","SALTA","RIVADAVIA","HITO 1","CALLE S/N","","A4561XAE","ESTAFETA","HITO  1","PINTOS CAYETANO SATURNINO","A4561ZAB","P202","71017202","9171755202","MANUAL 0772","NO POSEE","LUN A VIE 07.00 A 13.00" 
"CENTRO","ZONA 7","A1217","SALTA","CAPITAL","SALTA","AV DE LOS INCAS","0","A4410FUA","AGENCIA","SALTA 4","MARCO, JOSE HUMBERTO","A4406ZAB","P102","71017102","9171747102","MANUAL 0819","(0387) 4362161","LUN A VIE 08.30 A 14.00" 
"CENTRO","ZONA 7","A3253","SALTA","CAPITAL","SALTA","AV DR BERNARDO HOUSSAY","0","A4408BXA","AGENCIA","CIUDAD JUDICIAL SALTA","RIOS HUMBERTO","A4408ZAL","P105","71017105","9171747105","MANUAL 2750","(0387) 4257346","LUN A VIE 08.00 A 13.00" 
"CENTRO","ZONA 7","A3273","SALTA","ANTA","LAS LAJITAS","SANTA FE","0","A4450BZA","AGENCIA","LAS LAJITAS","CAÑETE JUAN PEDRO","A4450ZAE","P106","71017106","9171735106","MANUAL 2767","(03877) 49-4599","LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 19.00" 
"CENTRO","ZONA 7","A3300","SALTA","CAPITAL","SALTA","R NAC 51","0","A4406EMA","SUCURSAL","CAYE SALTA","MARCELO TOLEDO","A4406ZAF","P970","71017970","9171747970","AUTO/AUTO 3047 - MANUAL/AUTO 3048","(0387) 416-0531/416-0532/416-0533","LUN A VIE 08.00 A 20.00 / SAB 09.00 A 13.00" 
"METROPOLITANA","ZONA 6","B0000","BUENOS AIRES","GENERAL SAN MARTIN","GENERAL SAN MARTIN","INTE A M CAMPOS","1951","B1650BFG","SUCURSAL","SAN MARTIN","ZINNI ANALIA","B1650ZAB","4224","71025224","9250255224","MANUAL/AUTO 0341 - AUTO/AUTO 2447","(011) 4754-9502/4713-7129 FAX: 4754-9502","LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00" 
"METROPOLITANA","ZONA 5","B0001","BUENOS AIRES","TIGRE","TIGRE","AV DANIEL M CAZON","1140","B1648EWY","SUCURSAL","TIGRE","BRITEZ NATALIA","B1648ZAB","4231","71025231","9253123231","MANUAL/AUTO 0348 - AUTO/AUTO 2576","(011) 4749-9989 FAX: 4749-0245","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0002","BUENOS AIRES","VICENTE LOPEZ","VICENTE LOPEZ","AV DEL LIBERTADOR","1202","B1638BEY","SUCURSAL","VICENTE LOPEZ","LAGO HECTOR","B1638ZAC","4251","71025251","9253131251","MANUAL/AUTO 0350 - AUTO/AUTO 2412","(011) 4791-1203","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0003","BUENOS AIRES","SAN ISIDRO","VILLA ADELINA","AV PARANA","6001","B1607ECD","SUCURSAL","VILLA ADELINA","VARAS CARLOS","B1607ZAB","4253","71025253","9253115253","AUTO/AUTO 2504 - MANUAL/AUTO 0351","(011) 4708-0366 FAX: 4766-0770","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0004","BUENOS AIRES","GENERAL SAN MARTIN","VILLA BALLESTER","VICENTE LOPEZ","3044","B1653MTD","SUCURSAL","VILLA BALLESTER","BIANCHIMANO, LORENA","B1653ZAA","4254","71025254","9250255254","AUTO/AUTO 2381 - MANUAL/AUTO 0352","(011) 4767-6331/4767-6285","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0005","BUENOS AIRES","VICENTE LOPEZ","VILLA MARTELLI","LAPRIDA","3586","B1603AAJ","SUCURSAL","VILLA MARTELLI","PITERA BARBARA","B1603ZAA","4257","71025257","9253131257","AUTO/AUTO 2448 - MANUAL/AUTO 0358","(011) 4709-5326 FAX: 4709-7315","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0006","BUENOS AIRES","GENERAL SAN MARTIN","JOSE LEON SUAREZ","BUENOS AIRES","7479","B1655KIY","SUCURSAL","JOSE LEON SUAREZ","LALLI PABLO","B1653ZAB","4182","71025182","9250255182","MANUAL 0366","(011) 4729-7023/4729-1997","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0007","BUENOS AIRES","TRES DE FEBRERO","LOMA HERMOSA","AV EVA PERON","9718","B1657BIB","SUCURSAL","LOMA HERMOSA","ALICIA VACHERAND","B1657ZAA","4183","71025183","9253128183","MANUAL/AUTO 0377 - AUTO/AUTO 2732","(011) 4848-1772/4848-1748","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0009","BUENOS AIRES","SAN ISIDRO","ACASSUSO","AV SANTA FE","766","B1641AAQ","SUCURSAL","ACASSUSO","PORRO SANTIAGO","B1641ZAA","4101","71025101","9253115101","MANUAL/AUTO 0405 - AUTO/AUTO 2729","(011) 4732-3764 FAX: 4732-3784","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0010","BUENOS AIRES","SAN ISIDRO","BOULOGNE","DR BERNARDO DE IRIGOYEN","2647","B1609BGW","SUCURSAL","SOLEIL","ANA ADELA LOPEZ","B1609ZAB","4227","71025227","9253115227","MANUAL 0410","(011) 4710-4575 FAX: 4710-9087","LUN A VIE 09.00 A 17.00 / SAB 10.00 A 13.00" 
"METROPOLITANA","ZONA 5","B0011","BUENOS AIRES","SAN ISIDRO","MARTINEZ","AV PARANA","3745","B1640FRE","SUCURSAL","MARTINEZ UNICENTER","VARAS, CAMILA","B1640ZAB","4192","71025192","9253115192","AUTO/AUTO 2449 - MANUAL/AUTO 0411","(011) 4717-2989 FAX: 4717-2897","LUN A VIE 10.00 A 20.00 / SAB 10.00 A 13.00" 
"METROPOLITANA","ZONA 9","B0012","BUENOS AIRES","QUILMES","BERNAL ESTE","9 DE JULIO","14","B1876AXB","SUCURSAL","BERNAL","SAAVEDRA ANA MARIA","B1876ZAA","4314","71025314","9253101314","MANUAL/AUTO 2350 - AUTO/AUTO 2378","(011) 4251-4835 FAX: 4251-4916","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0013","BUENOS AIRES","SAN FERNANDO","VICTORIA","AV PTE J D PERON","2579","B1644CYC","SUCURSAL","VICTORIA","LETE NORBERTO","B1644ZAA","4252","71025252","9253114252","AUTO/AUTO 2413 - MANUAL/AUTO 0307","(011) 4745-0154 FAX: 4744-6477","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0014","BUENOS AIRES","VICENTE LOPEZ","FLORIDA","AV GRAL SAN MARTIN","2849","B1602DFF","SUCURSAL","FLORIDA","LEIVA EVANGELINA","B1602ZAA","4151","71025151","9253131151","MANUAL/AUTO 0309 - AUTO/AUTO 2491","(011) 4797-2794/4837-9596 FAX: 4791-4643","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0015","BUENOS AIRES","TIGRE","GENERAL PACHECO","AV DE LOS CONSTITUYENTES","532","B1617AAS","SUCURSAL","GENERAL PACHECO","BONELLI VANESA","B1617ZAB","4161","71025161","9253123161","AUTO/AUTO 2492 - MANUAL/AUTO 0310","(011) 4740-1224 FAX: 4740-1176","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0016","BUENOS AIRES","GENERAL SAN MARTIN","VILLA LYNCH","REPUBLICA DEL LIBANO","4041","B1672ASA","SUCURSAL","VILLA LYNCH","GOVI, GLADYS","B1672ZAA","4256","71025256","9250255256","MANUAL/AUTO 0322 - AUTO/AUTO 2450","(011) 4508-9590 FAX: 4755-9531","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0020","BUENOS AIRES","VICENTE LOPEZ","OLIVOS","AV MAIPU","2683","B1636AAG","SUCURSAL","OLIVOS","GABRIELA ALFONSO","B1636ZAB","4201","71025201","9253131201","AUTO/AUTO 2451 - MANUAL/AUTO 2306","(011) 4711-5734 FAX: 4799-5270","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0021","BUENOS AIRES","VICENTE LOPEZ","FLORIDA","AV MAIPU","438","B1602AAR","SUCURSAL","PUENTE SAAVEDRA","DELLA ZOPPA VALERIA","B1638ZAB","4211","71025211","9253131211","MANUAL/AUTO 0331 - AUTO/AUTO 2452","(011) 4791-3617 FAX: 4791-6547","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0022","BUENOS AIRES","GENERAL SAN MARTIN","SAN ANDRES","DR ALEU","3063","B1651CYK","SUCURSAL","SAN ANDRES","CRAVERO, LUCIANA","B1651ZAB","4221","71025221","9250255221","MANUAL 0336","(011) 4713-9011 FAX: 4713-8800","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0023","BUENOS AIRES","SAN FERNANDO","SAN FERNANDO","CONSTITUCION","555","B1646CXK","SUCURSAL","SAN FERNANDO","RISPAL GUILLERMO","B1646ZAB","4222","71025222","9253114222","AUTO/AUTO 2453 - MANUAL/AUTO 2326","(011) 4890-1268 FAX: 4745-7485","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0024","BUENOS AIRES","SAN ISIDRO","SAN ISIDRO","ALSINA","102","B1642FND","SUCURSAL","SAN ISIDRO","STIGLIANO ANA","B1642ZAB","4223","71025223","9253115223","AUTO/AUTO 2382 - MANUAL/AUTO 0339","(011) 4707-0471 FAX: 4732-9423","LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00" 
"METROPOLITANA","ZONA 6","B0030","BUENOS AIRES","SAN MIGUEL","SAN MIGUEL","MANUEL BELGRANO","1398","B1663NMB","SUCURSAL","SAN MIGUEL","BARNETCHEGARAY ANDREA","B1663ZAB","4225","71025225","9253116225","AUTO/AUTO 2379 - MANUAL/AUTO 0342","(011) 4667-0003/4664-6265","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0031","BUENOS AIRES","SAN MIGUEL","BELLA VISTA","AV SENADOR MORON","1090","B1661INX","SUCURSAL","BELLA VISTA","FERRERI MARIA GIMENA","B1661ZAA","4111","71025111","9253116111","AUTO/AUTO 2383 - MANUAL/AUTO 0295","(011) 4666-0303 FAX: 4666-0050","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0032","BUENOS AIRES","SAN ISIDRO","BOULOGNE","AV AVELINO ROLON","2384","B1609HVQ","SUCURSAL","BOULOGNE","MARTINEZ FARIÑA WALTER","B1609ZAA","4113","71025113","9253115113","MANUAL/AUTO 0298 - AUTO/AUTO 2505","(011) 4766-4202","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0033","BUENOS AIRES","HURLINGHAM","HURLINGHAM","PTE GRAL JULIO A ROCA","1008","B1686LQT","SUCURSAL","HURLINGHAM","MARINA URBANI","B1686ZAB","4171","71025171","9250260171","AUTO/AUTO 2384 - MANUAL/AUTO 0312","(011) 4665-0484 FAX: 4662-1876","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0034","BUENOS AIRES","JOSE CLEMENTE PAZ","JOSE CLEMENTE PAZ","ROQUE SAENZ PEÑA","5009","B1665GSE","SUCURSAL","JOSE C. PAZ","ALVAREZ KARINA","B1665ZAB","4181","71025181","9250262181","MANUAL/AUTO 0315 - AUTO/AUTO 2414","(02320) 42-2366","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0035","BUENOS AIRES","HURLINGHAM","VILLA SANTOS TESEI","GRAL PEDRO DIAZ","444","B1688BFH","SUCURSAL","SANTOS TESEI","QUIROGA DANIEL","B1688ZAA","4226","71025226","9250260226","MANUAL 0361","(011) 4459-1118/4459-4586","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0036","BUENOS AIRES","TIGRE","DON TORCUATO","AV ANGEL T DE ALVEAR","1539","B1611AAA","SUCURSAL","DON TORCUATO","DIANO VIERA GLADYS","B1611ZAB","4132","71025132","9253123132","MANUAL/AUTO 0370 - AUTO/AUTO 2415","(011) 4741-7894/4843-2427 FAX: 4741-3120","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0037","BUENOS AIRES","MALVINAS ARGENTINAS","GRAND BOURG","ALTE FRANCISCO SEGUI","1722","B1615CPV","SUCURSAL","GRAND BOURG","FERNANDEZ ANDREA","B1615ZAB","4162","71025162","9250278162","MANUAL 0371","(02320) 02320-480196/02320-412661 FAX: 02320-481810","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0038","BUENOS AIRES","PILAR","DEL VISO","AV ING MADERO","1395","B1669CKH","SUCURSAL","DEL VISO","JUAN DANIEL ZIBELL","B1669ZAA","4131","71025131","9250296131","MANUAL/AUTO 0375 - AUTO/AUTO 2762","(02320) 65-9707/47-0441","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0040","BUENOS AIRES","MALVINAS ARGENTINAS","LOS POLVORINES","25 DE MAYO","2639","B1613FOO","SUCURSAL","LOS POLVORINES","TRIGO BERMUDEZ PAMELA","B1613ZAB","4184","71025184","9250278184","MANUAL/AUTO 0389 - AUTO/AUTO 2416","(011) 4456-1194/4663-2517","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 6","B0041","BUENOS AIRES","MALVINAS ARGENTINAS","TORTUGUITAS","AV TTE GRAL JUAN D PERON","22","B1667CZN","SUCURSAL","TORTUGUITAS","GLORIA GARCETE","B1667ZAA","4241","71025241","9250278241","MANUAL/AUTO 0392 - AUTO/AUTO 2734","(02320) 55-6683 FAX: 49-0161","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 5","B0044","BUENOS AIRES","TIGRE","BENAVIDEZ","ITUZAINGO","2882","B1621KSF","AGENCIA","BENAVIDEZ","SCALIA,  LORENA","B2701ZAB","4112","71025112","9253123112","MANUAL 2655","(03327) 481940 FAX: 481941","LUN A VIE 08.00 A 15.00" 
"METROPOLITANA","ZONA 9","B0051","BUENOS AIRES","AVELLANEDA","CRUCESITA","AV PRES BARTOLOME MITRE","1899","B1873AME","SUCURSAL","SARANDI","VICARIA KARINA","B1872ZAA","4444","71025444","9250206444","MANUAL/AUTO 2311 - AUTO/AUTO 2417","(011) 4204-7186/4204-7909 FAX: 4203-0513","LUN A VIE 10.00 A 18.00" 
"METROPOLITANA","ZONA 8","B0061","BUENOS AIRES","EZEIZA","AEROPUERTO EZEIZA","AEROP INTERNACIONAL EZEIZA","0","B1802EZE","AGENCIA","AEROPUERTO EZEIZA","RICCI WALTER","B1802ZAA","4301","71025301","9250239301","MANUAL 2663","(011) 5480-4491","LUN A VIE 09.00 A 17.00" 
"METROPOLITANA","ZONA 8","B0062","BUENOS AIRES","ALMIRANTE BROWN","ADROGUE","ESTEBAN ADROGUE","1076","B1846FHB","SUCURSAL","ALMIRANTE BROWN (ADROGUE)","DE CASTRO HECTOR","B1846ZAB","4303","71025303","9250204303","MANUAL/AUTO 2367 - AUTO/AUTO 2385","(011) 4293-7808 FAX: 4293-7819","LUN A VIE 10.00 A 18.00" 
